page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count
-40,"Human Nutrition: 2020 Edition UNIVERSITY OF HAWAI‘I AT MĀNOA FOOD SCIENCE AND HUMAN NUTRITION PROGRAM ALAN TITCHENAL, SKYLAR HARA, NOEMI ARCEO CAACBAY, WILLIAM MEINKE-LAU, YA-YUN YANG, MARIE KAINOA FIALKOWSKI REVILLA, JENNIFER DRAPER, GEMADY LANGFELDER, CHERYL GIBBY, CHYNA NICOLE CHUN, AND ALLISON CALABRESE",308,42,77.0
-39,"Human Nutrition: 2020 Edition by University of Hawai‘i at Mānoa Food Science and Human Nutrition Program is licensed under a Creative Commons Attribution 4.0 International License, except where otherwise noted.",210,30,52.5
-38,Contents Preface University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program xxv About the Contributors University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program xxvi Acknowledgements University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program xl Part I. Chapter 1. Basic Concepts in Nutrition Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 3 Food Quality University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 14 Units of Measure University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 18,766,114,191.5
-37,"Lifestyles and Nutrition University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 21 Achieving a Healthy Diet University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 30 Research and the Scientific Method University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 34 Types of Scientific Studies University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 41 Part II. Chapter 2. The Human Body Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 55 Basic Biology, Anatomy, and Physiology University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 62 The Digestive System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 68",941,142,235.25
-36,The Cardiovascular System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 82 Central Nervous System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 94 The Respiratory System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 99 The Endocrine System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 106 The Urinary System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 110 The Muscular System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 117 The Skeletal System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 120 The Immune System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 129,998,152,249.5
-35,"Indicators of Health: Body Mass Index, Body Fat Content, and Fat Distribution University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 133 Part III. Chapter 3. Water and Electrolytes Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 145 Overview of Fluid and Electrolyte Balance University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 150 Water’s Importance to Vitality University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 156 Regulation of Water Balance University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 162 Electrolytes Important for Fluid Balance University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 172 Sodium University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 176",1011,150,252.75
-34,Chloride University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 190 Potassium University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 195 Consequences of Deficiency or Excess University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 199 Water Concerns University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 209 Popular Beverage Choices University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 216 Part IV. Chapter 4. Carbohydrates Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 229 Digestion and Absorption of Carbohydrates University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 240,912,133,228.0
-33,The Functions of Carbohydrates in the Body University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 253 Health Consequences and Benefits of High- Carbohydrate Diets University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 260 Carbohydrates and Personal Diet Choices University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 271 Part V. Chapter 5. Lipids Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 291 The Functions of Lipids in the Body University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 296 The Role of Lipids in Food University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 301 How Lipids Work University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 305,989,152,247.25
-32,Nonessential and Essential Fatty Acids University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 313 Digestion and Absorption of Lipids University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 319 Tools for Change University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 331 Lipids and the Food Industry University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 340 Lipids and Disease University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 345 A Personal Choice about Lipids University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 351 Part VI. Chapter 6. Protein Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 359,938,142,234.5
-31,"Defining Protein University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 363 The Role of Proteins in Foods: Cooking and Denaturation University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 374 Protein Digestion and Absorption University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 378 Protein’s Functions in the Body University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 383 Diseases Involving Proteins University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 395 Proteins in a Nutshell University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 405 Proteins, Diet, and Personal Choices University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 409",953,144,238.25
-30,Part VII. Chapter 7. Alcohol Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 431 Alcohol Metabolism University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 436 Health Consequences of Alcohol Abuse University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 442 Health Benefits of Moderate Alcohol Intake University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 448 Part VIII. Chapter 8. Energy Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 453 The Atom University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 460 Weight Management University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 472,937,137,234.25
-29,"Factors Affecting Energy Intake University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 485 Factors Affecting Energy Expenditure University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 492 Dietary, Behavioral, and Physical Activity Recommendations for Weight Management University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 501 Part IX. Chapter 9. Vitamins Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 515 Fat-Soluble Vitamins University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 521 Water-Soluble Vitamins University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 550 Antioxidants University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 593",976,138,244.0
-28,The Body’s Offense University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 597 Phytochemicals University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 600 Part X. Chapter 10. Major Minerals Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 609 Calcium University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 613 Phosphorus University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 631 Sulfur University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 635 Magnesium University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 640,845,125,211.25
-27,Summary of Major Minerals University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 645 Part XI. Chapter 11. Trace Minerals Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 651 Iron University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 655 Copper University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 666 Zinc University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 671 Selenium University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 675 Iodine University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 681,835,126,208.75
-26,Chromium University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 686 Manganese University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 689 Molybdenum University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 692 Fluoride University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 695 Summary of Trace Minerals University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 700 Part XII. Chapter 12. Nutrition Applications Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 707 Understanding Dietary Reference Intakes University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 710,890,129,222.5
-25,Discovering Nutrition Facts University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 718 Building Healthy Eating Patterns University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 740 MyPlate Planner University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 745 Pacific Based Dietary Guidelines University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 760 Understanding the Bigger Picture of Dietary Guidelines University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 768 Part XIII. Chapter 13. Lifespan Nutrition From Pregnancy to the Toddler Years Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 779 Pregnancy University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 785,993,144,248.25
-24,Infancy University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 807 Toddler Years University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 852 Part XIV. Chapter 14. Lifespan Nutrition During Childhood and Adolescence Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 867 Childhood University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 871 Adolescence University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 884 Late Adolescence University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 889,771,112,192.75
-23,Part XV. Chapter 15. Lifespan Nutrition in Adulthood Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 903 Young Adulthood University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 907 Middle Age University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 913 Older Adulthood: The Golden Years University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 919 Part XVI. Chapter 16. Performance Nutrition Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 933 The Essential Elements of Physical Fitness University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 936,850,123,212.5
-22,The Benefits of Physical Activity University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 945 Fuel Sources University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 950 Sports Nutrition University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 959 Water and Electrolyte Needs University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 972 Food Supplements and Food Replacements University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 977 Part XVII. Chapter 17. Food Safety Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 987 The Major Types of Foodborne Illness University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 992,943,141,235.75
-21,The Causes of Food Contamination University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 997 Protecting the Public Health University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1011 The Food System University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1017 Food Preservation University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1019 Food Processing University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1025 The Effect of New Technologies University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1030 Efforts on the Consumer Level: What You Can Do University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1034,923,142,230.75
-20,"Part XVIII. Chapter 18. Nutritional Issues Introduction University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1043 Comparing Diets University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1046 1.   Calories In Versus Calories Out University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1063 Nutrition, Health and Disease University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1076 Threats to Health University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1098 Undernutrition, Overnutrition, and Malnutrition University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1121 Food Insecurity University of Hawai‘i at Mānoa Food Science and Human Nutrition Program and Human Nutrition Program 1132",955,137,238.75
